SampleName,Camalexin (ng/mm),Cam.SE,Lesion Area (mm2),Les.SE
NPR1G1E88,4.5943213,2.733659,3.169601,4.718013
NPR1G1F88,4.5943213,2.733659,3.169601,4.718013
NPR1G2E88,4.5943213,2.733659,3.169601,4.718013
NPR1G2F88,4.5943213,2.733659,3.169601,4.718013
NPR1G1E01,4.6033335,2.083,17.550522,4.71813
NPR1G1F01,4.6033335,2.083,17.550522,4.71813
NPR1G2E01,4.6033335,2.083,17.550522,4.71813
NPR1G2F01,4.6033335,2.083,17.550522,4.71813
COL0G1E50,4.7230053,2.386847,24.657523,3.763993
COL0G1F50,4.7230053,2.386847,24.657523,3.763993
COL0G2E50,4.7230053,2.386847,24.657523,3.763993
COL0G2F50,4.7230053,2.386847,24.657523,3.763993
COIL1G1E94,4.87794629,1.63112,39.41835,6.733374
COIL1G1F94,4.87794629,1.63112,39.41835,6.733374
COIL1G2E94,4.87794629,1.63112,39.41835,6.733374
COIL1G2F94,4.87794629,1.63112,39.41835,6.733374
NPR1G1E82,4.917607,2.483273,20.789342,4.496198
NPR1G1F82,4.917607,2.483273,20.789342,4.496198
NPR1G2E82,4.917607,2.483273,20.789342,4.496198
NPR1G2F82,4.917607,2.483273,20.789342,4.496198
COIL1G1F36,5.01093832,1.535458,30.016755,6.729679
COIL1G2E36,5.01093832,1.535458,30.016755,6.729679
COIL1G2F36,5.01093832,1.535458,30.016755,6.729679
NPR1G1E61,5.0165061,2.07896,35.085018,4.711148
NPR1G1F61,5.0165061,2.07896,35.085018,4.711148
NPR1G2E61,5.0165061,2.07896,35.085018,4.711148
NPR1G2F61,5.0165061,2.07896,35.085018,4.711148
COL0G1E48,5.0539877,2.385811,31.427567,3.763192
COL0G1F48,5.0539877,2.385811,31.427567,3.763192
COL0G2E48,5.0539877,2.385811,31.427567,3.763192
COIL1G1E42,5.22373096,1.536721,32.544479,6.728474
COIL1G1F42,5.22373096,1.536721,32.544479,6.728474
COIL1G2E42,5.22373096,1.536721,32.544479,6.728474
COIL1G2F42,5.22373096,1.536721,32.544479,6.728474
COL0G1E11,5.2883567,2.385186,17.837435,3.762013
